Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, Black or African American Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder - Margin of Error","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Asian Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, Some Other Race Householder - Margin of Error","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, 2 or More Races Householder - Margin of Error","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Non-Hispanic White Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y
33,01779796,36,NY,New York,122049149763,19246994695,65323,270,32689,648,73850,407,78232,410,44136,260,46178,471,41267,2347,72131,1037,47227,15125,40328,538,56921,1323,75528,280,46259,468,7316537,13711,765852,5772,6550685,12668,10.5,0.0764121950583957,-75.5013589390929,42.965330364791
34,01027616,37,NC,North Carolina,125923656064,13466071395,52413,224,29094,607,56570,443,62464,433,40062,303,37242,340,38206,1961,80500,1933,48398,9113,37107,1022,46787,2321,59421,343,40001,593,3918597,8585,388072,3746,3530525,8204,9.9,0.0931007308452379,-79.3637118571318,35.5466450622037
35,01779797,38,ND,North Dakota,178707534813,4403267548,63473,688,36135,2026,73785,1331,80529,1347,41770,1051,34565,3246,36710,2994,62223,9224,,,56250,11469,51901,6298,66668,795,47116,4655,314903,1937,47264,1201,267639,1786,15,0.370044400278705,-100.471113855255,47.4685693290347
36,01085497,39,OH,Ohio,105828882568,10268850702,54533,167,28485,578,60925,391,66721,420,40358,195,31669,300,33682,4647,73058,1757,47894,18764,40216,1710,39526,1274,59163,222,42732,1123,4654075,10201,425454,3989,4228621,9744,9.1,0.0833348786841985,-82.7881144032045,40.3081697476852
37,01102857,40,OK,Oklahoma,177662925723,3374587997,51424,213,29782,812,56693,421,60647,545,39918,329,34138,828,42820,832,56996,2380,40486,2562,40812,1166,45833,927,55372,275,42770,843,1474620,3107,157107,2012,1317513,3256,10.7,0.134582652448382,-97.5154977833938,35.5990615809058
38,01155107,41,OR,Oregon,248606993270,6192386935,59393,384,30840,869,66141,723,71022,722,44699,495,37078,2885,42047,3104,75929,2404,60028,5541,50193,1667,51581,1741,61206,371,48447,934,1591835,4000,206813,3178,1385022,5015,13,0.196956418541302,-120.552210322461,43.9693307831448
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,59445,234,28511,820,67926,468,73434,379,40464,217,36847,416,37702,3604,72699,1712,51705,13897,36202,1207,45666,1685,63856,213,40086,774,5025132,9263,460641,4280,4564491,8166,9.2,0.0834789184278814,-77.7997846934395,40.8836410342814
40,01219835,44,RI,Rhode Island,2677779902,1323670487,63296,705,29247,2329,68018,1273,78949,1283,42027,679,41630,1661,34414,11177,72907,3738,41155,6826,35517,2731,42704,6604,69896,914,36920,1940,410885,1911,37684,1297,373201,2295,9.2,0.31276475090243,-71.5875066739124,41.6961554477739
41,01779799,45,SC,South Carolina,77864918488,5075218778,51015,271,27631,939,54753,564,59405,615,41017,402,33371,510,39484,4906,61898,3178,35280,10884,38951,2084,47230,3064,59565,390,41007,1161,1894711,6012,169629,3114,1725082,5843,9,0.161878574446802,-80.8985136351716,33.916214884517
42,01785534,46,SD,South Dakota,196346981786,3382720225,56499,508,33170,2048,64381,700,68069,1330,40628,804,31957,2981,27045,1650,51288,6910,38958,35869,44235,6961,42030,4823,59813,710,43745,4263,341565,2003,53451,1099,288114,2095,15.6,0.308390169233761,-100.232226625261,44.4553415401531
