Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Total Workers 16 Years and Over,Total Workers 16 Years and Over - Margin of Error,"All Workers who commuted by car, truck, or van","All Workers who commuted by car, truck, or van - Margin of Error",Workers who drove alone,Workers who drove alone - Margin of Error,Workers who carpooled,Workers who carpooled - Margin of Error,All Workers who commuted by public transportation (excluding taxicab),All Workers who commuted by public transportation (excluding taxicab) - Margin of Error,Workers who commuted by bus or trolley bus,Workers who commuted by bus or trolley bus - Margin of Error,Workers who commuted by streetcar or trolley car (carro público in Puerto Rico),Workers who commuted by streetcar or trolley car (carro público in Puerto Rico) - Margin of Error,Workers who commuted by subway or elevated,Workers who commuted by subway or elevated - Margin of Error,Workers who commuted by railroad,Workers who commuted by railroad - Margin of Error,Workers who commuted by ferryboat,Workers who commuted by ferryboat - Margin of Error,Workers who commuted by taxicab,Workers who commuted by taxicab - Margin of Error,Workers who commuted by motorcycle,Workers who commuted by motorcycle - Margin of Error,Workers who commuted by bicycle,Workers who commuted by bicycle - Margin of Error,Workers who commuted by walking,Workers who commuted by walking - Margin of Error,Workers who commuted by other means,Workers who commuted by other means - Margin of Error,Workers who worked at home,Workers who worked at home - Margin of Error,Percent of workers who commuted by driving alone,Percent of workers who commuted by driving alone - Margin of Error,Percent of workers who commuted by carpooling,Percent of workers who commuted by carpooling - Margin of Error,Percent of workers who commuted by public transportation,Percent of workers who commuted by public transportation - Margin of Error,Percent of workers who commuted by bus or trolley bus,Percent of workers who commuted by bus or trolley bus - Margin of Error,Percent of workers who commuted by streetcar or trolley car,Percent of workers who commuted by streetcar or trolley car - Margin of Error,Percent of workers who commuted by subway or elevated,Percent of workers who commuted by subway or elevated - Margin of Error,Percent of workers who commuted by railroad,Percent of workers who commuted by railroad - Margin of Error,Percent of workers who commuted by ferryboat,Percent of workers who commuted by ferryboat - Margin of Error,Percent of workers who commuted by taxicab,Percent of workers who commuted by taxicab - Margin of Error,Percent of workers who commuted by motorcycle,Percent of workers who commuted by motorcycle - Margin of Error,Percent of workers who commuted by bicycle,Percent of workers who commuted by bicycle - Margin of Error,Percent of workers who commuted by walking,Percent of workers who commuted by walking - Margin of Error,Percent of workers who commuted by other means,Percent of workers who commuted by other means - Margin of Error,Percent of workers who worked at home,Percent of workers who worked at home - Margin of Error,x,y
11,01705317,13,GA,Georgia,149482048342,4422936154,4667378,11149,4165302,13179,3708394,12077,456908,6661,99181,2974,71421,2463,795,218,23545,1343,3093,548,327,137,12680,1273,4866,613,10723,826,69380,2369,50744,2188,254502,4149,79.5,0.175876859551599,9.8,0.140785167121495,2.1,0.0635163567371869,1.5,0.0526437822899722,0,0.0046705394023247,0.5,0.0287489427775697,0.1,0.011740000327413,0,0.00293521915806198,0.3,0.0272666926563107,0.1,0.0131313510624987,0.2,0.0176887914386425,1.5,0.0506321952468448,1.1,0.0468065775889409,5.5,0.0879341660402064,-83.4512728588705,32.6731573337381
12,01779782,15,HI,Hawaii,16633990195,11777809026,700228,3508,566883,3464,468932,3457,97951,2462,45326,1472,44999,1474,53,50,168,98,45,36,61,43,540,158,4379,419,5956,561,31742,1304,12050,978,33352,1374,67,0.362183475345111,14,0.344545050302204,6.5,0.2077009296659,6.4,0.208026348278638,0,0.00714043068692054,0,0.0139949253403362,0,0.0051410817776535,0,0.00614070189384881,0.1,0.0225607713758985,0.6,0.0597555790742628,0.9,0.0800033589159604,4.5,0.184835152007043,1.7,0.139402463486325,4.8,0.194765530525852,-155.521205886131,19.6020249913044
13,01779783,16,ID,Idaho,214049787659,2391722557,757408,3243,670856,3537,595426,3586,75430,2675,5418,498,5201,488,36,31,64,60,63,64,54,46,410,162,2036,322,7214,649,19434,964,6034,556,46006,1544,78.6,0.332958518400854,10,0.350594579136545,0.7,0.0656791827383494,0.7,0.0643631470600749,0,0.00409285573670706,0,0.00792167157324676,0,0.00844979608486915,0,0.00607326816183068,0.1,0.021387480466228,0.3,0.0424978310827294,1,0.0855898725713675,2.6,0.126801141135959,0.8,0.0733289607289895,6.1,0.202187298477465,-114.683878125244,44.467482733905
14,01779784,17,IL,Illinois,143780567633,6214824948,6124144,11844,4962939,13372,4476231,12227,486708,6788,578636,4877,229402,3614,2973,458,199271,2757,146470,2954,520,140,15651,987,5379,478,39586,1521,182578,3531,48646,1708,290729,3498,73.1,0.140992979581274,7.9,0.109769129984178,9.4,0.0775108018177706,3.7,0.0585659718119271,0,0.00747800684403082,3.3,0.0445765395104057,2.4,0.0480130228504432,0,0.00228597478922469,0.3,0.0161089575487261,0.1,0.00780332378446428,0.6,0.0248046422050825,3,0.0573680229500236,0.8,0.0278472704447564,4.7,0.0563754748404446,-89.1992243931464,40.1053645021465
15,00448508,18,IN,Indiana,92789302676,1538002829,3107072,7703,2851074,8271,2578594,8392,272480,4320,31522,1312,24684,1175,457,195,1563,317,4469,445,349,136,2346,412,3459,319,12793,972,64980,1703,24295,1080,116603,2519,83,0.174978196423256,8.8,0.137327240755251,1,0.0421512755169783,0.8,0.0377656299563445,0,0.00627589925626802,0.1,0.0102017692417991,0.1,0.0143177258869877,0,0.00437702272914744,0.1,0.0132587511603757,0.1,0.0102631903646795,0.4,0.0312668137526469,2.1,0.0545646602868995,0.8,0.0347053150175444,3.8,0.0805374841370605,-86.2727907508566,39.9332337014215
16,01779785,19,IA,Iowa,144661267977,1084180812,1583271,4647,1416582,5192,1285034,5433,131548,2733,17435,1051,16984,1043,112,60,72,41,32,26,235,118,1243,234,2417,286,7766,517,51801,1437,10755,717,75272,1709,81.2,0.246989417746006,8.3,0.170886063985866,1.1,0.0663028292306051,1.1,0.0658009952556542,0,0.003789565998555,0,0.00258954123368215,0,0.00164215919815398,0,0.00745279766579477,0.1,0.014777732817939,0.2,0.0180583112311753,0.5,0.0326221655566654,3.3,0.0902520318640804,0.7,0.0452420835246909,4.8,0.107035358263344,-93.5022097471626,42.0905515649658
17,00481813,20,KS,Kansas,211755344060,1344141205,1422992,4746,1299825,4630,1169866,5106,129959,3097,6898,699,6397,671,112,68,130,64,39,36,220,95,730,246,2557,351,5119,526,33452,1292,11029,795,63382,1557,82.2,0.23145218588858,9.1,0.215497952523941,0.5,0.0490952366164318,0.4,0.047130322462274,0,0.00477859144615621,0,0.00449746248065999,0,0.00252986418830017,0,0.00667587494048852,0.1,0.0172866714117334,0.2,0.0246590550820947,0.4,0.0369448912609923,2.4,0.0904554419130894,0.8,0.055808363758308,4.5,0.108404183432866,-98.380978436543,38.500201327931
18,01779786,21,KY,Kentucky,102279490672,2375337755,1929677,6494,1769353,7039,1584648,7245,184705,3460,20400,1030,19943,999,127,72,82,58,95,60,153,76,1198,246,1741,283,3692,427,42943,1455,20648,1183,69702,1820,82.1,0.254143063317347,9.6,0.176387398777709,1.1,0.0532581096793066,1,0.0516533595680145,0,0.00373112865314679,0,0.00300565035033989,0,0.00310928451891217,0,0.00393839258003985,0.1,0.0127465353286316,0.1,0.0146625234540667,0.2,0.0221186858741897,2.2,0.0750283670453828,1.1,0.0611997476728157,3.6,0.0935296650985032,-85.2821599133082,37.5343728740713
19,01629543,22,LA,Louisiana,111897594374,23753621895,2007599,6988,1847379,7316,1660274,8018,187105,3975,25582,1394,23711,1403,1304,214,234,109,107,79,226,112,1948,359,2486,394,10474,776,36198,1823,23242,1264,60290,1960,82.7,0.276846582652012,9.3,0.195322097272984,1.3,0.0692943711827996,1.2,0.069763452266066,0.1,0.0106571013101489,0,0.0054292195195107,0,0.00393500505131799,0,0.00557866572700667,0.1,0.0178788672973365,0.1,0.0196206994387723,0.5,0.0386104550712498,1.8,0.0905878428976361,1.2,0.0628316912123497,3,0.0970678431765216,-92.7826889226491,31.3393935291076
20,01779787,23,ME,Maine,79887426037,11746549764,651799,3123,574444,2718,511466,2882,62978,1880,4159,469,3384,441,49,30,132,84,179,77,415,106,1561,405,927,190,2729,400,25602,1028,4852,479,37525,1004,78.5,0.232696048172176,9.7,0.284692944781308,0.6,0.0718897185381765,0.5,0.0676131500297062,0,0.00460250496245625,0,0.012887043243304,0,0.0118127250023714,0.1,0.0162598206565648,0.2,0.062125123296135,0.1,0.0291421247889442,0.4,0.0613358149571589,3.9,0.156590442206521,0.7,0.0734023095920143,5.8,0.15154518329995,-69.2227764588879,45.4025915694396
