Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home) - Margin of Error,Workers whose commute was less than 5 minutes,Workers whose commute was less than 5 minutes - Margin of Error,Workers whose commute was 5 to 9 minutes,Workers whose commute was 5 to 9 minutes - Margin of Error,Workers whose commute was 10 to 14 minutes,Workers whose commute was 10 to 14 minutes - Margin of Error,Workers whose commute was 15 to 19 minutes,Workers whose commute was 15 to 19 minutes - Margin of Error,Workers whose commute was 20 to 24 minutes,Workers whose commute was 20 to 24 minutes - Margin of Error,Workers whose commute was 25 to 29 minutes,Workers whose commute was 25 to 29 minutes - Margin of Error,Workers whose commute was 30 to 34 minutes,Workers whose commute was 30 to 34 minutes - Margin of Error,Workers whose commute was 35 to 39 minutes,Workers whose commute was 35 to 39 minutes - Margin of Error,Workers whose commute was 40 to 44 minutes,Workers whose commute was 40 to 44 minutes - Margin of Error,Workers whose commute was 45 to 59 minutes,Workers whose commute was 45 to 59 minutes - Margin of Error,Workers whose commute was 60 to 89 minutes,Workers whose commute was 60 to 89 minutes - Margin of Error,Workers whose commute was 90 minutes or more,Workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was less than 5 minutes,Percent of workers whose commute was less than 5 minutes - Margin of Error,Percent of workers whose commute was 5 to 9 minutes,Percent of workers whose commute was 5 to 9 minutes - Margin of Error,Percent of workers whose commute was 10 to 14 minutes,Percent of workers whose commute was 10 to 14 minutes - Margin of Error,Percent of workers whose commute was 15 to 19 minutes,Percent of workers whose commute was 15 to 19 minutes - Margin of Error,Percent of workers whose commute was 20 to 24 minutes,Percent of workers whose commute was 20 to 24 minutes - Margin of Error,Percent of workers whose commute was 25 to 29 minutes,Percent of workers whose commute was 25 to 29 minutes - Margin of Error,Percent of workers whose commute was 30 to 34 minutes,Percent of workers whose commute was 30 to 34 minutes - Margin of Error,Percent of workers whose commute was 35 to 39 minutes,Percent of workers whose commute was 35 to 39 minutes - Margin of Error,Percent of workers whose commute was 40 to 44 minutes,Percent of workers whose commute was 40 to 44 minutes - Margin of Error,Percent of workers whose commute was 45 to 59 minutes,Percent of workers whose commute was 45 to 59 minutes - Margin of Error,Percent of workers whose commute was 60 to 89 minutes,Percent of workers whose commute was 60 to 89 minutes - Margin of Error,Percent of workers whose commute was 90 minutes or more,Percent of workers whose commute was 90 minutes or more - Margin of Error,x,y
11,01705317,13,GA,Georgia,149482048342,4422936154,4412876,11873,92060,2881,339011,5306,558010,5741,666047,6394,632434,6870,268468,4269,632503,6390,142381,2820,173482,3472,433254,5585,341463,5779,133763,2802,2.1,0.0650444922516133,7.7,0.118449137959643,12.6,0.125569198688392,15.1,0.139087139229809,14.3,0.150829924324239,6.1,0.0953447836768972,14.3,0.139573979041146,3.2,0.0633115258385673,3.9,0.0779646303673897,9.8,0.123774069880316,7.7,0.129292232550849,3,0.0629700708750691,-83.4512728588705,32.6731573337381
12,01779782,15,HI,Hawaii,16633990195,11777809026,666876,3613,15096,986,61007,1796,85423,1950,94244,2138,91635,1970,34648,1349,110896,2359,16227,929,28674,1206,61446,1693,49515,1417,18065,885,2.3,0.147344047812261,9.1,0.264715534146946,12.8,0.284053407380042,14.1,0.311322501090079,13.7,0.285872852662295,5.2,0.200318447012099,16.6,0.342073648839316,2.4,0.138681075012724,4.3,0.179336563739465,9.2,0.248913943966479,7.4,0.208640733759143,2.7,0.131894305342969,-155.521205886131,19.6020249913044
13,01779783,16,ID,Idaho,214049787659,2391722557,711402,3389,38772,1612,109304,2550,127639,3019,125622,2572,99510,2340,39941,1902,73855,2615,14214,1076,15853,1004,33692,1690,20637,1180,12363,816,5.5,0.225102454887022,15.4,0.350894470362749,17.9,0.415676781257759,17.7,0.351616919247444,14,0.322107520147726,5.6,0.266018206868445,10.4,0.36424179120702,2,0.150950837850558,2.2,0.140729941542592,4.7,0.236485288303377,2.9,0.165292969290036,1.7,0.114403927087288,-114.683878125244,44.467482733905
14,01779784,17,IL,Illinois,143780567633,6214824948,5833415,13233,158258,2438,532398,5096,701588,5572,750699,5375,736057,5715,354523,4509,808989,6199,197786,3046,291404,3369,614842,5803,514131,4980,172740,3030,2.7,0.0413380947280626,9.1,0.0848699635925971,12,0.091539302770212,12.9,0.0873947276867908,12.6,0.0936953707768116,6.1,0.0760566291189925,13.9,0.101503584167734,3.4,0.0516468323404883,5,0.056630813249169,10.5,0.0965624895365945,8.8,0.0829960315719079,3,0.0515059269796639,-89.1992243931464,40.1053645021465
15,00448508,18,IN,Indiana,92789302676,1538002829,2990469,7595,102192,2274,352424,4867,459694,4401,494060,4265,443667,4759,207656,3028,361344,4182,94515,2321,105723,2458,195976,2974,118627,2216,54591,1883,3.4,0.0755446803513487,11.8,0.159974536320359,15.4,0.141894711100567,16.5,0.136307779494433,14.8,0.154613850557574,6.9,0.099707371380506,12.1,0.136435569333611,3.2,0.0771970459408293,3.5,0.0817025772062587,6.6,0.0980466445159604,4,0.0734140295665868,1.8,0.0627957933379573,-86.2727907508566,39.9332337014215
16,01779785,19,IA,Iowa,144661267977,1084180812,1507999,4944,100718,1992,262846,3532,275199,3380,260815,3109,210243,3014,89947,1727,133787,2433,30880,1017,31699,1023,59863,1585,32105,1085,19897,796,6.7,0.130268053583975,17.4,0.227139538190323,18.2,0.2160050475347,17.3,0.198216195619177,13.9,0.194570666459779,6,0.112840701076311,8.9,0.158696112846103,2,0.067105368762132,2.1,0.0674872760059363,4,0.104297287293434,2.1,0.0716102865911392,1.3,0.0526076324309739,-93.5022097471626,42.0905515649658
17,00481813,20,KS,Kansas,211755344060,1344141205,1359610,4673,82823,2013,223282,3154,245307,3079,239390,3268,199466,3625,80803,1808,133616,2565,28763,1273,29635,1155,52001,1629,28560,1096,15964,792,6.1,0.146569295703708,16.4,0.22500657043542,18,0.217806167564174,17.6,0.232620203034368,14.7,0.261809027492255,5.9,0.131401118271985,9.8,0.185608647488978,2.1,0.0933470329972139,2.2,0.0846198579763207,3.8,0.119090444684545,2.1,0.0802873869079564,1.2,0.0581120403855631,-98.380978436543,38.500201327931
18,01779786,21,KY,Kentucky,102279490672,2375337755,1859975,6728,68517,1995,212720,4134,285494,3993,318450,3890,286398,3188,125738,2458,230482,3178,52706,1670,57419,1554,116693,2309,69620,1863,35738,1230,3.7,0.106428584866148,11.4,0.218377061678602,15.3,0.207376201498999,17.1,0.199762583156686,15.4,0.162097855076693,6.8,0.129870196216003,12.4,0.164878208967987,2.8,0.0891991419558976,3.1,0.0827999032808251,6.3,0.122049456139925,3.7,0.099243302244749,1.9,0.0657636688203364,-85.2821599133082,37.5343728740713
19,01629543,22,LA,Louisiana,111897594374,23753621895,1947309,7133,59947,2127,205336,3348,288688,4042,332899,4508,294958,4249,110821,3065,269572,3840,46425,1859,52076,1931,130187,3002,97327,2251,59073,2114,3.1,0.108644025258924,10.5,0.167534751199348,14.8,0.200339123183635,17.1,0.222868722864955,15.1,0.211026551033752,5.7,0.156010128299772,13.8,0.190564002053851,2.4,0.0950648119227597,2.7,0.0986774579127578,6.7,0.152203966727933,5,0.114136435484416,3,0.10798987228139,-92.7826889226491,31.3393935291076
20,01779787,23,ME,Maine,79887426037,11746549764,614274,2946,28813,1118,77791,1887,93367,2392,93495,1819,83180,1904,40953,1362,70234,1755,20003,962,21702,1031,45652,1255,25669,1031,13415,693,4.7,0.180607897974815,12.7,0.301128123079642,15.2,0.382518938860127,15.2,0.286984029317885,13.5,0.303079745553588,6.7,0.219407662324099,11.4,0.280391555453501,3.3,0.15582700259356,3.5,0.166982976011004,7.4,0.20117316835264,4.2,0.166639626654476,2.2,0.112328872598555,-69.2227764588879,45.4025915694396
