Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population 15 Years and Over,Total Population 15 Years and Over - Margin of Error,Male Population 15 Years and Over,Male Population 15 Years and Over - Margin of Error,Males who are Never Married,Males who are Never Married - Margin of Error,All Males who are Married,All Males who are Married - Margin of Error,"Males who are Married, Spouse Present","Males who are Married, Spouse Present - Margin of Error","All Males who are Married, Spouse Absent","All Males who are Married, Spouse Absent - Margin of Error","Males who are Married, Spouse Absent (Separated)","Males who are Married, Spouse Absent (Separated) - Margin of Error","Males who are Married, Spouse Absent (Other Absence)","Males who are Married, Spouse Absent (Other Absence) - Margin of Error",Males who are Widowed,Males who are Widowed - Margin of Error,Males who are Divorced,Males who are Divorced - Margin of Error,Female Population 15 Years and Over,Female Population 15 Years and Over - Margin of Error,Females who are Never Married,Females who are Never Married - Margin of Error,All Females who are Married,All Females who are Married - Margin of Error,"Females who are Married, Spouse Present","Females who are Married, Spouse Present - Margin of Error","All Females who are Married, Spouse Absent","All Females who are Married, Spouse Absent - Margin of Error","Females who are Married, Spouse Absent (Separated)","Females who are Married, Spouse Absent (Separated) - Margin of Error","Females who are Married, Spouse Absent (Other Absence)","Females who are Married, Spouse Absent (Other Absence) - Margin of Error",Females who are Widowed,Females who are Widowed - Margin of Error,Females who are Divorced,Females who are Divorced - Margin of Error,Total Never Married,Total Never Married - Margin of Error,Percent Never Married,Percent Never Married - Margin of Error,Total Married,Total Married - Margin of Error,Percent Married,Percent Married - Margin of Error,Total Widowed,Total Widowed - Margin of Error,Percent Widowed,Percent Widowed - Margin of Error,Total Divorced,Total Divorced - Margin of Error,Percent Divorced,Percent Divorced - Margin of Error,x,y
24,00662849,27,MN,Minnesota,206228939448,18945217189,4450194,431,2201023,615,769393,5156,1182689,6833,1119039,7138,63650,1606,19834,862,43816,1276,49660,1073,199281,2835,2249171,641,644091,3879,1181929,5874,1116686,6350,65243,1512,25947,1066,39296,1190,174516,1533,248635,3528,1413484,6452,31.8,0.144949805424719,2364618,9011,53.1,0.202420150179543,224176,1871,5,0.0420402801452482,447916,4526,10.1,0.101698759641565,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,2392259,730,1145902,1050,419047,3458,566187,4489,504720,4678,61467,1794,30476,1305,30991,1354,36599,1327,124069,2739,1246357,882,391491,3766,566415,4502,499701,4665,66714,1763,39128,1555,27586,1240,133653,2457,154798,3243,810538,5113,33.9,0.213480821562321,1132602,6358,47.3,0.265380939952857,170252,2792,7.1,0.116689564163608,278867,4245,11.7,0.177411684077435,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,4942912,882,2401391,1124,801054,5266,1262209,6906,1173882,7753,88327,2237,38121,1190,50206,1630,70166,1849,267962,3700,2541521,997,696350,4306,1266589,6627,1168871,7380,97718,2692,50937,2078,46781,1696,244927,2734,333655,3857,1497404,6802,30.3,0.137504979001402,2528798,9571,51.2,0.19341548562443,315093,3301,6.4,0.0667728080943342,601617,5345,12.2,0.108112826076337,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,852154,444,426874,607,138115,1739,225691,2304,211613,2249,14078,840,4764,415,9314,727,12547,692,50521,1728,425280,517,106052,1508,225306,2106,211885,2297,13421,734,5680,513,7741,563,37666,930,56256,1329,244167,2302,28.7,0.269726125005276,450997,3121,52.9,0.365208788298794,50213,1159,5.9,0.135973623596044,106777,2180,12.5,0.255738984018501,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,1508699,482,746731,550,247409,2139,410413,2801,386143,2939,24270,1121,7777,629,16493,848,18895,687,70014,1433,761968,562,202860,1876,406058,2476,381654,2770,24404,1154,10513,820,13891,725,67208,1293,85842,1799,450269,2845,29.8,0.188331858229349,816471,3738,54.1,0.247159151150089,86103,1464,5.7,0.097020117357986,155856,2300,10.3,0.152413499980978,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,2360941,226,1180260,340,434924,3513,563826,4540,503665,4496,60161,1836,21860,999,38301,1437,30196,1115,151314,2822,1180681,329,345600,3142,560276,4154,492838,4134,67438,1986,29011,1227,38427,1594,94447,1848,180358,2334,780524,4713,33.1,0.199598707931311,1124102,6154,47.6,0.260618930588305,124643,2158,5.3,0.0914028353917887,331672,3662,14,0.1551018160357,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,1130931,206,556592,387,181987,1880,300462,2523,283813,2575,16649,862,5499,579,11150,653,14365,789,59778,1769,574339,340,151853,1742,299093,2676,282424,2929,16669,1056,7310,687,9359,759,48468,1184,74925,1839,333840,2563,29.5,0.226563647530538,599555,3678,53,0.325075383538878,62833,1423,5.6,0.125821466852433,134703,2552,11.9,0.225644362481966,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,7257158,299,3507234,436,1303439,7485,1875439,8358,1718974,9339,156465,3130,53762,2114,102703,2615,89453,1827,238903,2957,3749924,353,1176693,6185,1847187,7712,1675241,8344,171946,3175,81147,2103,90799,2252,349651,3289,376393,3963,2480132,9710,34.2,0.133791524489518,3722626,11372,51.3,0.1566862078196,439104,3762,6.1,0.0518378750903766,615296,4945,8.5,0.0681387261978159,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,1682324,458,826957,574,312633,2716,394093,3319,356311,3337,37782,1624,12905,927,24877,1220,24282,1082,95949,1932,855367,479,267066,2706,389739,3433,350070,3714,39669,1644,16756,1097,22913,1107,76518,1625,122044,2003,579699,3834,34.5,0.227705868990237,783832,4775,46.6,0.283549983172313,100800,1952,6,0.116018501465697,217993,2783,13,0.165388304918836,-106.106409224733,34.4614491432654
33,01779796,36,NY,New York,122049149763,19246994695,16187152,592,7765468,697,3156059,12362,3850214,15237,3398356,17421,451858,5231,151985,2772,299873,4421,200923,2589,558272,5486,8421684,729,2994663,10049,3817737,12932,3303079,14494,514658,5717,238633,3803,276025,4336,760177,4933,849107,6256,6150722,15931,38,0.0984077483598625,7667951,19985,47.4,0.123449958012665,961100,5571,5.9,0.0344154988656793,1407379,8321,8.7,0.051403982660118,-75.5013589390929,42.965330364791
