fips,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17
1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0.333,0.25,0,0.2,0,0,0,0,0.333,0.25,0,0.1,0.091,0.333,0.062,0.118,0,0.105,0.095,0.087,0.04,0.077,0.107,0.065,0.152,0.079,0.049,0.07,0.043,0.042,0.06,0,0
1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.5,0.333,0.5,0.167,0,0,0.143,0,0.125,0,0.667,0,0,0.333,0.1,0,0.318,0.034,0.033,0.258,0,0.026,0,0.05,0.262,-0.208,0,0.048,0.023,-0.022,0,0.068,0.043,0.02,0.04,0,0.058,0,0.036,0,0.018,0,0,0.017,0.034,0.016,0.016,0.032,0,0.031,0,0,0.015,0.015,0
1045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0.5,0,0,0.333,0.5,0,0.083,0.077,0,0.214,0.176,0.05,0,0.048,0,0.045,0.087,0,0,0,0,0.08,0,0.037,0.214,0,0,0,0.059,0.111,0.075,0,0.047,0.156,0.019,0,0.075,0.053,0
1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.5,0.333,0.75,0,0,0,0,0,0.429,0.1,-0.091,0.4,0,0.214,0.294,-0.045,0,0.048,0.136,0.04,0.115,0.034,-0.033,0.103,0,0.031,0.121,0,0,0.027,0.105,0.167,0.204,0.102,0.046,0.118,0.092,0.145,0.074,0.059,0.13,0.016,0.04,0.023,0.038,0.058,0.007
1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0.5,0.333,0.25,0.3,0.077,0,0,0,0.143,0.125,0.167,0.238,0.077,0.036,0.069,0.032,0.062,0.176,0.05,0.095,0.109,0.137,0.052,0,0.033,0.111,0.057,0.027,0.013,-0.013,0,0.013,0.026,0.139,0.1,0.101,0.138,0.097,0.044,0.035,0.075,0.057,0.072,0.034,0.027,0.011,0
1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0.25,0.2,0,0,0,0.333,0.125,0.111,0.2,0.083,0,0,-0.077,0.25,0.133,0.118,0,0,0.053,0.1,0.091,0.208,0.034,0,0.1,0.121,0.162,0.14,0.102,0,0.074,0.086,0.079,0.074,0.014,0,0,0.041,0.026,0,0.038,0.024,0.024,0.023,0.057,0.108,0.078,0.09,0,0.05,0.024,0.038,0.111,0.013,0.026,0.006,0.076,0.053,0.056,0.021
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0.5,0,0,0.667,0,0.2,0.333,0,0.25,0,0.1,0.091,0.167,-0.143,0.25,0.067,0.062,0.059,0.167,0.048,0,0.136,0.04,0.038,0,0.037,0.036,0.034,0.033,0.032,-0.031,-0.032,0.1,0.061,0.029,0,0.028,0.027,0,0.026,0,0,0
1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333,0.25,0.2,0,0,0.333,0.25,0.3,0.615,0.286,0.333,0.167,0.024,0.093,0.128,0.208,0.156,0.041,0.013,0,0.077,0.036,0.011,0.057,0.054,0.02,0.1,0.055,0.034,0.008,0.017,0.016,0.008,0.032,0.069,0,0,0.014,0.014,0.021,0.041,0.039,0.019,0.031,0.024,0.071,0.06,0.016,0.005,0.005,0.005,0.015,0.01
1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0.5,0.333,0,0,0,0,0,0,0,-0.25,0.333,0,0,0,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0.167,0,0,0,0,0.286,0,0.111,-0.1,0,0
1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,0,0,0,0,0,0,0.333,0.25,0.2,0,0.167,0,0,0.143,0,0,0.25,0,0.2,0.417,0,0.059,-0.056,0,0.059,0,0.222,0.136,0.28,0.188,0.079,0.049,0.023,0.023,0.289,0.345,0.282,0.32,0.03,0.118,0.079,0.122,0.098,0.069,0.046,0.093,0.069,0.023,0.067,0.073,0.065,0.015
