Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Total Children Under 18 Years Living with at least One Parent,Total Children Under 18 Years Living with at least One Parent - Margin of Error,All Children Under 6 Years Living with at least One Parent,All Children Under 6 Years Living with at least One Parent - Margin of Error,Children Under 6 Years Living with Two Parents,Children Under 6 Years Living with Two Parents - Margin of Error,"Children Under 6 Years Living with Two Parents, Both Parents in Labor Force","Children Under 6 Years Living with Two Parents, Both Parents in Labor Force - Margin of Error","Children Under 6 Years Living with Two Parents, Father Only in Labor Force","Children Under 6 Years Living with Two Parents, Father Only in Labor Force - Margin of Error","Children Under 6 Years Living with Two Parents, Mother Only in Labor Force","Children Under 6 Years Living with Two Parents, Mother Only in Labor Force - Margin of Error","Children Under 6 Years Living with Two Parents, Neither Parent in Labor Force","Children Under 6 Years Living with Two Parents, Neither Parent in Labor Force - Margin of Error",Children Under 6 Years Living with One Parent,Children Under 6 Years Living with One Parent - Margin of Error,Children Under 6 Years Living with Father Only,Children Under 6 Years Living with Father Only - Margin of Error,"Children Under 6 Years Living with Father Only, Father in Labor Force","Children Under 6 Years Living with Father Only, Father in Labor Force - Margin of Error","Children Under 6 Years Living with Father Only, Father Not in Labor Force","Children Under 6 Years Living with Father Only, Father Not in Labor Force - Margin of Error",Children Under 6 Years Living with Mother Only,Children Under 6 Years Living with Mother Only - Margin of Error,"Children Under 6 Years Living with Mother Only, Mother in Labor Force","Children Under 6 Years Living with Mother Only, Mother in Labor Force - Margin of Error","Children Under 6 Years Living with Mother Only, Mother Not in Labor Force","Children Under 6 Years Living with Mother Only, Mother Not in Labor Force - Margin of Error",All Children 6 to 17 Years Living with at least One Parent,All Children 6 to 17 Years Living with at least One Parent - Margin of Error,Children 6 to 17 Years Living with Two Parents,Children 6 to 17 Years Living with Two Parents - Margin of Error,"Children 6 to 17 Years Living with Two Parents, Both Parents in Labor Force","Children 6 to 17 Years Living with Two Parents, Both Parents in Labor Force - Margin of Error","Children 6 to 17 Years Living with Two Parents, Father Only in Labor Force","Children 6 to 17 Years Living with Two Parents, Father Only in Labor Force - Margin of Error","Children 6 to 17 Years Living with Two Parents, Mother Only in Labor Force","Children 6 to 17 Years Living with Two Parents, Mother Only in Labor Force - Margin of Error","Children 6 to 17 Years Living with Two Parents, Neither Parent in Labor Force","Children 6 to 17 Years Living with Two Parents, Neither Parent in Labor Force - Margin of Error",Children 6 to 17 Years Living with One Parent,Children 6 to 17 Years Living with One Parent - Margin of Error,Children 6 to 17 Years Living with Father Only,Children 6 to 17 Years Living with Father Only- Margin of Error,"Children 6 to 17 Years Living with Father Only, Father in Labor Force","Children 6 to 17 Years Living with Father Only, Father in Labor Force - Margin of Error","Children 6 to 17 Years Living with Father Only, Father Not in Labor Force","Children 6 to 17 Years Living with Father Only, Father Not in Labor Force - Margin of Error",Children 6 to 17 Years Living with Mother Only,Children 6 to 17 Years Living with Mother Only - Margin of Error,"Children 6 to 17 Years Living with Mother Only, Mother in Labor Force","Children 6 to 17 Years Living with Mother Only, Mother in Labor Force - Margin of Error","Children 6 to 17 Years Living with Mother Only, Mother Not in Labor Force","Children 6 to 17 Years Living with Mother Only, Mother Not in Labor Force - Margin of Error",Children with All Available Parents in Labor Force,Children with All Available Parents in Labor Force - Margin of Error,Percent of Children with All Available Parents in Labor Force,Percent of Children with All Available Parents in Labor Force - Margin of Error,Children with No Available Parent in Labor Force,Children with No Available Parent in Labor Force - Margin of Error,Percent of Children with No Available Parent in Labor Force,Percent of Children with No Available Parent in Labor Force - Margin of Error,x,y
37,01102857,40,OK,Oklahoma,177662925723,3374587997,895860,1898,301453,1434,193037,2052,104673,1960,78117,1727,6671,497,3576,440,108416,2105,27228,1101,24039,1059,3189,348,81188,1960,59036,1580,22152,990,594407,2053,388090,3280,242425,3540,117427,2571,18919,1062,9319,711,206317,3158,52421,1738,44947,1735,7474,611,153896,2622,120898,2313,32998,1478,596018,5325,66.5,0.577446626108302,78708,2088,8.8,0.232327668332908,-97.5154977833938,35.5990615809058
38,01155107,41,OR,Oregon,248606993270,6192386935,823535,2305,266708,1865,187314,2457,108316,2589,68881,2305,7014,702,3103,568,79394,2392,22920,1507,20353,1360,2567,500,56474,2250,40831,1899,15643,1242,556827,2379,383891,4534,248863,4375,109643,3187,18424,1311,6961,761,172936,4095,45474,1956,40579,1730,4895,570,127462,3604,103883,3180,23579,1622,562825,6664,68.3,0.786260723246259,56748,2377,6.9,0.287988661388146,-120.552210322461,43.9693307831448
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,2550543,2724,820551,2922,526329,4246,334299,4488,169234,3049,14745,858,8051,781,294222,4404,68835,2174,60947,1941,7888,749,225387,4004,169915,3966,55472,2348,1729992,3326,1141118,6740,786977,7061,288231,4455,46856,1981,19054,1190,588874,6468,131916,3102,115906,3049,16010,1105,456958,5551,363002,5541,93956,3582,1831046,11380,71.8,0.439542301681038,200431,4707,7.9,0.18435799737724,-77.7997846934395,40.8836410342814
40,01219835,44,RI,Rhode Island,2677779902,1323670487,200275,804,63773,966,39965,1189,27430,1242,10715,896,1309,312,511,185,23808,1105,4950,567,4440,532,510,202,18858,1114,14779,1070,4079,565,136502,992,85541,1542,62813,1658,17929,1311,3460,548,1339,316,50961,1479,9869,904,8762,835,1107,346,41092,1592,33209,1603,7883,880,151433,2998,75.6,1.46584272592681,15429,1178,7.7,0.587377596413539,-71.5875066739124,41.6961554477739
41,01779799,45,SC,South Carolina,77864918488,5075218778,1027381,2932,332200,1956,196183,2914,118374,2691,70261,2085,5518,771,2030,386,136017,2650,24673,1313,21653,1284,3020,454,111344,2656,85017,2512,26327,1601,695181,2998,417067,4735,277685,4962,115272,3263,16911,1349,7199,844,278114,4655,49995,2136,41989,1819,8006,1011,228119,4468,186218,3884,41901,2253,730936,7630,71.1,0.714371364046471,88483,3119,8.6,0.302590871003981,-80.8985136351716,33.916214884517
42,01785534,46,SD,South Dakota,196346981786,3382720225,199235,945,69152,834,47133,999,34201,978,11560,809,779,199,593,264,22019,1034,5832,514,5332,500,500,123,16187,997,11829,847,4358,586,130083,947,89929,1508,70998,1596,15417,1062,2243,347,1271,368,40154,1376,11330,891,9975,828,1355,273,28824,1197,23810,1075,5014,626,156145,2512,78.4,1.20477795060867,13091,1015,6.6,0.508494476637169,-100.232226625261,44.4553415401531
43,01325873,47,TN,Tennessee,106802728188,2350123465,1405941,2878,459171,2503,286441,3432,165540,3825,107052,2663,8832,763,5017,665,172730,3382,36477,1836,31976,1752,4501,608,136253,3070,98793,3082,37460,1839,946770,3230,603964,5226,383708,5503,177626,3823,27395,1596,15235,1241,342806,5354,73473,2704,62509,2722,10964,919,269333,4950,215155,4459,54178,2347,957681,9207,68.1,0.639846930783118,127355,3477,9.1,0.246611546808477,-86.3397866034863,35.8470257836399
44,01779801,48,TX,Texas,676653171537,19006305260,6949090,6015,2307153,5422,1485150,9076,764259,9650,661017,6733,40934,2272,18940,1552,822003,9708,172424,4458,155047,4381,17377,1267,649579,8655,462968,6578,186611,5163,4641937,7005,3060987,15080,1804967,15520,1098399,10948,106393,3536,51228,2712,1580950,13993,311576,6458,279262,6156,32314,1675,1269374,12691,1029290,10574,240084,5684,4495793,23370,64.7,0.331607831800604,546554,8552,7.9,0.122878026743301,-99.3717699000508,31.5724078615364
45,01455989,49,UT,Utah,212886221680,6998824394,889921,1462,296973,1605,244786,2110,112724,2131,124803,2164,5048,569,2211,383,52187,1827,13818,1125,12842,1080,976,275,38369,1693,28379,1543,9990,735,592948,1669,477394,3311,268893,4191,194252,3989,9824,899,4425,615,115554,3119,29280,1766,27121,1700,2159,449,86274,2618,71812,2279,14462,1144,521771,5808,58.6,0.645495128772296,34223,1628,3.8,0.182828462240175,-111.682412156266,39.3642277011554
46,01779802,50,VT,Vermont,23874175944,1030416650,112412,546,34727,510,24646,675,16900,743,6638,563,737,146,371,168,10081,571,2928,389,2625,366,303,161,7153,544,5308,455,1845,328,77685,620,52529,1090,39525,1160,9225,779,2770,368,1009,250,25156,1187,7590,749,6583,652,1007,262,17566,1091,14408,897,3158,504,85349,1862,75.9,1.61483305141357,7693,740,6.8,0.65745295104973,-72.6609250559808,44.0853991096012
47,01779803,51,VA,Virginia,102257717110,8528531774,1775659,3032,588532,2510,408060,3918,250797,3946,142737,3329,10399,870,4127,617,180472,3550,40039,1590,36795,1520,3244,559,140433,3344,106649,2730,33784,1762,1187127,3097,817507,5938,553759,6806,221691,4579,29739,1450,12318,1306,369620,5501,76289,2432,68678,2359,7611,817,293331,5279,241660,4969,51671,2357,1258338,10095,70.9,0.555494382060576,112755,3424,6.4,0.192524724675003,-78.8747539368959,37.5231892631893
48,01779804,53,WA,Washington,172112588220,12559278850,1560042,2616,524663,2278,382743,3178,203509,2983,161374,3164,13015,810,4845,501,141920,2882,40467,1821,36648,1756,3819,565,101453,2400,74117,2289,27336,1677,1035379,3009,730330,4762,457151,5607,228012,4214,32101,1395,13066,1263,305049,5213,80851,2694,72190,2701,8661,679,224198,4669,181117,4213,43081,2074,1024732,8585,65.7,0.539169586408283,100808,3121,6.5,0.199765051694638,-120.43028570438,47.397180774417
49,01779805,54,WV,West Virginia,62266474513,489028543,343906,1551,111965,1173,67403,1565,37616,1679,24608,1127,3026,552,2153,444,44562,1755,11440,941,9357,826,2083,454,33122,1403,21029,1273,12093,998,231941,1685,153244,2555,92730,2543,42398,1875,10055,884,8061,942,78697,2124,21377,1155,16698,1046,4679,625,57320,1950,42215,1695,15105,1175,219645,3944,63.9,1.11006316910046,44174,2014,12.8,0.582752942031434,-80.6087400153847,38.6519367078775
50,01779806,55,WI,Wisconsin,140290039723,29344951758,1234264,1924,393049,1729,268312,2661,184787,2603,72515,1835,7989,629,3021,397,124737,2291,34138,1435,31289,1332,2849,393,90599,1918,72351,2130,18248,1081,841215,2100,572991,4068,427674,4374,115776,2786,21720,1074,7821,709,268224,4128,72480,2102,65821,1987,6659,763,195744,3580,164770,3236,30974,1487,946692,6829,76.7,0.540212126970211,69572,2186,5.6,0.176891504035242,-90.0210439383857,44.6652937790237
51,01779807,56,WY,Wyoming,251458544898,1867670745,130401,792,43120,893,31513,973,18098,1064,12063,745,1036,368,316,159,11607,868,3532,486,3211,488,321,158,8075,814,6207,712,1868,378,87281,966,63824,1279,44886,1534,16656,1231,1811,387,471,159,23457,1301,7542,879,7000,868,542,189,15915,996,13758,924,2157,398,93160,2416,71.4,1.80122118039834,5675,642,4.4,0.491617465012862,-107.55143503067,43.0321218585002
52,01779808,72,PR,Puerto Rico,8868896030,4922382562,658124,1625,186844,1576,64890,2057,41301,1771,17398,1392,2929,511,3262,568,121954,2199,26636,1333,22045,1241,4591,659,95318,2401,51315,1863,44003,1849,471280,2051,196287,3407,114255,2641,52354,2732,13934,1174,15744,1091,274993,3398,49949,1969,38985,1801,10964,932,225044,3474,143027,3117,82017,2909,410928,5299,62.4,0.790269425594203,160581,3834,24.4,0.579441386258204,-66.4785923809415,18.2250706456559
